epoch,accuracy,loss,val_accuracy,val_loss
0,0.9738547205924988,0.0747617781162262,0.9937931895256042,0.021275972947478294
1,0.9899771809577942,0.03224840760231018,0.9916852116584778,0.02936934493482113
2,0.9924169778823853,0.0260497834533453,0.9972283840179443,0.010921746492385864
3,0.9937735199928284,0.019600726664066315,0.9971113204956055,0.0117313452064991
4,0.9947202205657959,0.018074188381433487,0.9976577758789062,0.009052039124071598
5,0.9958815574645996,0.01393213216215372,0.9952375292778015,0.012509329244494438
6,0.9961450695991516,0.013098158873617649,0.9983604550361633,0.0054798852652311325
7,0.9963793158531189,0.011657199822366238,0.9387906193733215,0.15090695023536682
8,0.9967989325523376,0.009778658859431744,0.9975407123565674,0.011179445311427116
9,0.997160017490387,0.009727566502988338,0.9986337423324585,0.00640311511233449
10,0.9968770146369934,0.011686228215694427,0.9987898468971252,0.0038012543227523565
11,0.9976187348365784,0.008873684331774712,0.9982042908668518,0.008587401360273361
12,0.9970722198486328,0.009605366736650467,0.9989850521087646,0.005078769288957119
13,0.9979798197746277,0.006690363399684429,0.9972674250602722,0.009988794103264809
14,0.9975601434707642,0.0076599763706326485,0.999180257320404,0.0063474769704043865
15,0.9978334307670593,0.008040126413106918,0.999180257320404,0.0033747670240700245
16,0.9979212880134583,0.008514138869941235,0.9985556602478027,0.005551538430154324
17,0.9977943897247314,0.0071028247475624084,0.9987508058547974,0.006175100337713957
18,0.9982628226280212,0.005199975334107876,0.9982823729515076,0.009154587052762508
19,0.9982237815856934,0.006584749557077885,0.9974235892295837,0.007762561086565256
20,0.9979115128517151,0.007265801075845957,0.9991021752357483,0.004633466713130474
